,name,album,track_number
1207,"Midnight Rambler - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),5
663,Start Me Up - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,5
518,Brown Sugar - Live,Totally Stripped (Live),9
13,Gimme Shelter - Live,Licked Live In NYC,14
1197,"Midnight Rambler - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! (Remastered),5
650,Can't You Hear Me Knocking - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,4
524,Honky Tonk Women - Live,Totally Stripped - Paris (Live),1
515,I Go Wild - Live,Totally Stripped (Live),6
463,Start Me Up - Live,Havana Moon (Live),14
108,"Oh No, Not You Again - Live",A Bigger Bang (Live),6
849,(I Can't Get No) Satisfaction - Live / Remastered 2009,Still Life,11
660,Street Fighting Man - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,2
637,Rocks Off - Live Licks Tour,Live Licks,3
150,(I Can't Get No) Satisfaction - Live,Steel Wheels Live,26
748,"Little Red Rooster - Live At Atlantic City Convention Centre, USA / 1989",Flashpoint,10
1203,Jumpin' Jack Flash - Live,Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),1
291,Sweet Virginia - Live,Voodoo Lounge Uncut (Live),12
134,Salt Of The Earth - Live,Steel Wheels Live,10
347,Out Of Control - Live,From The Vault: No Security - San Jose 1999 (Live),12
319,Sweet Virginia - Live,Voodoo Lounge Uncut (Live),12
178,"Star Star - Live / Forest National Arena, Brussels / 17/10/73",Goats Head Soup (Deluxe),5
1193,Jumpin' Jack Flash - Live,Get Yer Ya-Ya's Out! (Remastered),1
1213,"Prodigal Son - Live From Madison Square Garden, New York/1969",Get Yer Ya-Ya's Out! The Rolling Stones In Concert (40th Anniversary Edition),11
301,Sympathy For The Devil - Live,Voodoo Lounge Uncut (Live),22
329,Sympathy For The Devil - Live,Voodoo Lounge Uncut (Live),22
765,Little Red Rooster - Live / Remastered 2009,Flashpoint,10
488,Brown Sugar - Live,Totally Stripped - Brixton (Live),21
744,"Ruby Tuesday - Live At Korakuen Dome, Japan / 1990",Flashpoint,6
89,Start Me Up - Live at Wembley Stadium 1982,Tattoo You (Super Deluxe),24
961,It's Only Rock 'N' Roll (But I Like It) - Live,Love You Live (Remastered),5
40,Rip This Joint - Live At The El Mocambo 1977,Live At The El Mocambo,18
231,You Can't Always Get What You Want - Live,Bridges To Bremen (Live),21
651,That's How Strong My Love Is - Live Licks Tour - 2009 Re-Mastered Digital Version,Live Licks,5
631,"Honky Tonk Women - Live At Madison Square Garden, USA / 2003",Live Licks,8
15,Can't You Hear Me Knocking - Live,Licked Live In NYC,16
